trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.46799999999999997, 'e': 0.5379444375946745}",20,0,-84.8899653118815,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.46699999999999997, 'e': 0.5272924240430485}",30,9,-32.562448740062635,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.46599999999999997, 'e': 0.5168513344916992}",20,0,3.7079066781599184,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.46499999999999997, 'e': 0.5066169923655895}",25,15,-19.823098768281856,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.46399999999999997, 'e': 0.49658530379140947}",20,0,-38.97709836065275,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.46299999999999997, 'e': 0.4867522559599717}",25,10,15.171644822708215,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.46199999999999997, 'e': 0.4771139155210344}",20,0,-15.518571863122826,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.46099999999999997, 'e': 0.46766642700990924}",30,7,17.4276862391292,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.45999999999999996, 'e': 0.4584060113052235}",20,15,9.76575665516537,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.45899999999999996, 'e': 0.44932896411722156}",25,0,-57.52238316433657,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",1
42,False,"{'a': 0.45799999999999996, 'e': 0.44043165450599925}",20,0,-22.29633008534389,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.45699999999999996, 'e': 0.43171052342907973}",25,0,12.736897508688152,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.45599999999999996, 'e': 0.4231620823177488}",20,3,-40.077433099978876,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.45499999999999996, 'e': 0.4147829116815814}",20,11,-13.971178575476669,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.45399999999999996, 'e': 0.4065696597405991}",30,0,7.659078029671239,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.45299999999999996, 'e': 0.39851904108451414}",25,0,-12.837726567058981,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.45199999999999996, 'e': 0.3906278353585211}",25,0,-125.71869588004263,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
49,False,"{'a': 0.45099999999999996, 'e': 0.38289288597511206}",20,11,-26.879369905865936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.44999999999999996, 'e': 0.37531109885139957}",20,14,-29.623865941930347,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.44899999999999995, 'e': 0.36787944117144233}",20,6,15.479128410183506,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.44799999999999995, 'e': 0.3605949401730783}",25,0,-17.047783730073647,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.44699999999999995, 'e': 0.35345468195878016}",25,10,-2.4683354625635707,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.44599999999999995, 'e': 0.3464558103300574}",20,16,8.300476293422633,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.44499999999999995, 'e': 0.3395955256449391}",30,11,3.148185017222671,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.44399999999999995, 'e': 0.33287108369807955}",20,8,3.4018944392576813,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.44299999999999995, 'e': 0.32627979462303947}",25,3,-25.92265453563183,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.44199999999999995, 'e': 0.31981902181630384}",30,19,5.35021031814175,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.44099999999999995, 'e': 0.3134861808826053}",20,13,15.096410987778073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.43999999999999995, 'e': 0.30727873860113125}",20,0,-72.4979072213372,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.43899999999999995, 'e': 0.30119421191220214}",25,0,-40.19942512307972,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
62,False,"{'a': 0.43799999999999994, 'e': 0.2952301669240142}",20,12,4.951927678577764,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.43699999999999994, 'e': 0.2893842179390506}",30,5,-39.11675394009858,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.43599999999999994, 'e': 0.2836540264997704}",25,18,12.34212536520773,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.43499999999999994, 'e': 0.27803730045319414}",35,11,27.862124073505985,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.43399999999999994, 'e': 0.2725317930340126}",25,10,6.17431125899571,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.43299999999999994, 'e': 0.26713530196585034}",20,0,24.762771593970665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.43199999999999994, 'e': 0.261845668580326}",30,16,-34.39313707235202,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
69,False,"{'a': 0.43099999999999994, 'e': 0.2566607769535559}",20,12,12.50933531414832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.42999999999999994, 'e': 0.25157855305975646}",20,7,-11.743548512011404,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.42899999999999994, 'e': 0.24659696394160643}",25,17,2.8113464526441603,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.42799999999999994, 'e': 0.24171401689703645}",20,3,6.382280787128447,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.42699999999999994, 'e': 0.23692775868212176}",25,17,-0.9964768093532692,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.42599999999999993, 'e': 0.23223627472975883}",20,4,-42.85482532393448,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.42499999999999993, 'e': 0.22763768838381274}",20,0,11.238080684809495,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.42399999999999993, 'e': 0.22313016014842982}",20,16,7.570914973893965,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.42299999999999993, 'e': 0.21871188695221475}",25,11,-4.3838911668865626,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.42199999999999993, 'e': 0.21438110142697794}",25,20,8.688130942301592,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.42099999999999993, 'e': 0.21013607120076472}",25,18,2.966225982449539,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.41999999999999993, 'e': 0.20597509820488344}",30,13,14.958875725861363,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.41899999999999993, 'e': 0.20189651799465538}",25,14,19.105830459436817,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.4179999999999999, 'e': 0.19789869908361465}",25,13,9.995645055671762,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.4169999999999999, 'e': 0.19398004229089189}",20,5,-16.941311853230502,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
84,False,"{'a': 0.4159999999999999, 'e': 0.1901389801015205}",20,16,4.233445987653866,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4149999999999999, 'e': 0.18637397603940997}",25,16,-24.08178402015431,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.4139999999999999, 'e': 0.18268352405273466}",30,0,39.873479048003,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.4129999999999999, 'e': 0.17906614791149322}",20,10,-4.151610122782022,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.4119999999999999, 'e': 0.17552040061699686}",25,0,-42.28095631097384,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.4109999999999999, 'e': 0.17204486382305054}",25,7,15.13841732543342,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.4099999999999999, 'e': 0.1686381472685955}",25,14,17.900116715691134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4089999999999999, 'e': 0.16529888822158653}",20,16,8.427991778485989,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4079999999999999, 'e': 0.16202575093388075}",35,18,33.12481531092238,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4069999999999999, 'e': 0.15881742610692068}",35,15,-7.540006783799392,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.4059999999999999, 'e': 0.1556726303679973}",20,4,25.608354334252088,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4049999999999999, 'e': 0.15259010575688386}",20,14,10.932709356209372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4039999999999999, 'e': 0.14956861922263504}",20,13,-10.009595321656578,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.4029999999999999, 'e': 0.14660696213035015}",25,5,24.557657677649114,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4019999999999999, 'e': 0.14370394977770293}",25,18,11.594159550152003,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.4009999999999999, 'e': 0.140858420921045}",25,13,18.128978525974766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3999999999999999, 'e': 0.13806923731089282}",20,11,5.907829892093653,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.3989999999999999, 'e': 0.1353352832366127}",25,13,22.86275923352337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.3979999999999999, 'e': 0.13265546508012172}",20,0,29.366107930651857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.3969999999999999, 'e': 0.1300287108784259}",20,5,19.894754350097074,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3959999999999999, 'e': 0.12745396989482075}",20,12,15.38736544284505,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3949999999999999, 'e': 0.12493021219858241}",30,19,14.418510662554414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3939999999999999, 'e': 0.1224564282529819}",30,14,-13.771716745863769,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.3929999999999999, 'e': 0.12003162851145673}",20,3,3.0610633924254014,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.3919999999999999, 'e': 0.11765484302177918}",25,7,6.304098877135662,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.3909999999999999, 'e': 0.11532512103806251}",20,8,8.326771363578413,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.3899999999999999, 'e': 0.11304153064044985}",25,1,43.269237736459935,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3889999999999999, 'e': 0.11080315836233387}",25,3,36.68450917550234,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3879999999999999, 'e': 0.10860910882495796}",20,10,22.34915467216331,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3869999999999999, 'e': 0.1064585043792528}",20,11,-3.815435193971864,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.3859999999999999, 'e': 0.104350484754765}",20,2,10.627085568558165,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.3849999999999999, 'e': 0.10228420671553744}",20,14,11.679408603083662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3839999999999999, 'e': 0.1002588437228037}",20,10,9.089633473636031,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.3829999999999999, 'e': 0.09827358560436154}",25,10,26.782464192897862,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3819999999999999, 'e': 0.09632763823049303}",20,12,14.659591598688333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.3809999999999999, 'e': 0.09442022319630235}",35,10,32.563785955275215,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3799999999999999, 'e': 0.09255057751034329}",20,0,-14.775809532078373,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.3789999999999999, 'e': 0.09071795328941251}",25,11,23.468666046589796,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3779999999999999, 'e': 0.08892161745938634}",20,11,18.226391125763843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3769999999999999, 'e': 0.0871608514619813}",25,6,30.144867167227154,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3759999999999999, 'e': 0.08543495096732123}",20,12,3.8196304049300362,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.3749999999999999, 'e': 0.08374322559219596}",25,10,25.956831282521073,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3739999999999999, 'e': 0.0820849986238988}",20,1,16.032447229978025,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.3729999999999999, 'e': 0.08045960674953244}",25,14,-2.1726544205573086,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.3719999999999999, 'e': 0.07886639979067495}",20,11,16.18125181949258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3709999999999999, 'e': 0.07730474044329974}",25,11,23.045526710664063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3699999999999999, 'e': 0.07577400402284548}",25,8,30.344451760012877,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3689999999999999, 'e': 0.07427357821433388}",25,11,21.694130857146043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3679999999999999, 'e': 0.07280286282743559}",35,23,19.327184467174483,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3669999999999999, 'e': 0.07136126955638605}",20,14,7.552184736008339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3659999999999999, 'e': 0.06994822174465536}",20,0,26.324291623577924,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3649999999999999, 'e': 0.06856315415427791}",20,3,28.3211178301706,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3639999999999999, 'e': 0.06720551273974976}",25,16,13.409843330756637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3629999999999999, 'e': 0.06587475442640295}",20,6,20.954225650630523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3619999999999999, 'e': 0.06457034689316847}",35,21,26.411472361187272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3609999999999999, 'e': 0.0632917683596407}",25,0,26.682865669382846,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.3599999999999999, 'e': 0.06203850737735829}",30,8,-1.0703456591832285,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.3589999999999999, 'e': 0.06081006262521795}",25,13,21.060361043846918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3579999999999999, 'e': 0.05960594270893937}",20,0,28.350022142605045,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
